k,model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
9,random_forest,0.7946825396825397,0.05042656290497774,0.8280581036191992,0.034154790366753285,0.918888888888889,0.05259911279353167,0.42000000000000004,0.12666666666666668,0.8702382396965124,0.03261615960491405,0.7639768518518518,0.13386818914637347
9,gradient_boosting,0.7913492063492062,0.053194085509407574,0.8271484069918837,0.03429765132998761,0.9144444444444446,0.053989024947805955,0.42000000000000004,0.12310790208412925,0.8678073215918474,0.034683242385279804,0.7529907407407408,0.1158792952156285
9,xgboost,0.7862698412698412,0.050744085439635864,0.8328548409055305,0.028220648100782637,0.8965277777777778,0.06601898927160613,0.4533333333333334,0.11469767022723501,0.862183217083427,0.03504369316094398,0.7621666666666667,0.12097976936387368
10,naive_bayes,0.7403174603174604,0.08185906809559011,0.8669196852214756,0.07266570625334182,0.7872222222222223,0.13802061932198642,0.6,0.2633122354417533,0.814699465646542,0.07261537489867553,0.797324074074074,0.09595037985529738
10,knn,0.778015873015873,0.05300975394779193,0.8159677601627262,0.037471687870528736,0.9120833333333334,0.0484563011102163,0.37333333333333335,0.155492050529208,0.8605328298771442,0.0333470813234082,0.6869212962962963,0.13053766828147162
10,decision_tree,0.735079365079365,0.06716818164763982,0.8166790825874152,0.03588577807931724,0.8354166666666666,0.0754340577451673,0.4333333333333333,0.12382783747337807,0.8244585311679831,0.0485539290464574,0.634375,0.075943937706592
10,random_forest,0.7995238095238094,0.040557341618795414,0.8283652344661894,0.03256523540108291,0.9273611111111112,0.05121987973674784,0.4133333333333333,0.132664991614216,0.873914583401629,0.02622196239427322,0.7667962962962963,0.11960124792325995
10,gradient_boosting,0.7879365079365079,0.04510674330697296,0.8279262215215579,0.02856509125207344,0.9076388888888889,0.0593471750916421,0.42666666666666664,0.11234866364235144,0.8647853529583542,0.030864609290278615,0.7624814814814815,0.10083819496493385
10,xgboost,0.7812698412698412,0.04940079349141322,0.8269362582849278,0.03595988579060062,0.8988888888888888,0.054985969029593865,0.42666666666666664,0.13727506854649332,0.8602575836354364,0.03196742946401476,0.7562222222222222,0.10706020510510325
15,naive_bayes,0.731984126984127,0.09188203929974877,0.8684592849679058,0.06978548342907101,0.7694444444444446,0.13986876565172895,0.62,0.24774538901416063,0.8061211020982594,0.0789224958961608,0.8002222222222223,0.09111776549020872
