max_depth,min_samples_leaf,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,0.01,0.7411904761904762,0.0763246586283832,0.8110354418853494,0.05996238994223769,0.8590277777777777,0.05522558256040221,0.38666666666666666,0.21457969252574774,0.8332152265734776,0.049004000589041,0.6764490740740741,0.13888050908362368
7,0.01,0.731111111111111,0.08833857426800426,0.8081437066158724,0.06106324712326112,0.8456944444444444,0.08607626983318377,0.38666666666666666,0.21664102412362557,0.8242554560746264,0.06118637467018703,0.6661944444444443,0.12954729164133436
10,0.01,0.7211904761904762,0.06844109637834121,0.8163067866764055,0.06579632061510003,0.8191666666666666,0.05696070228621021,0.42666666666666664,0.22939534045447005,0.8155102492533862,0.04295935283256499,0.6650277777777778,0.1139408948559565
25,0.01,0.7195238095238095,0.06709724894752789,0.8205910656362165,0.06343507146889667,0.8102777777777778,0.07131968110963656,0.44666666666666666,0.22320892057044278,0.812159055429271,0.04483020366735968,0.6594722222222222,0.10811191403721483
30,0.01,0.7195238095238095,0.06709724894752789,0.8205910656362165,0.06343507146889667,0.8102777777777778,0.07131968110963656,0.44666666666666666,0.22320892057044278,0.812159055429271,0.04483020366735968,0.6594722222222222,0.10811191403721483
40,0.01,0.7195238095238095,0.06709724894752789,0.8205910656362165,0.06343507146889667,0.8102777777777778,0.07131968110963656,0.44666666666666666,0.22320892057044278,0.812159055429271,0.04483020366735968,0.6594722222222222,0.10811191403721483
50,0.01,0.7195238095238095,0.06709724894752789,0.8205910656362165,0.06343507146889667,0.8102777777777778,0.07131968110963656,0.44666666666666666,0.22320892057044278,0.812159055429271,0.04483020366735968,0.6594722222222222,0.10811191403721483
2,0.05,0.7765079365079365,0.06609848580832003,0.7967505553413179,0.04828029106764742,0.9477777777777778,0.05753152651555384,0.26,0.20537229067665816,0.8644463170769271,0.040723819497461955,0.7147685185185185,0.08901236842048647
3,0.05,0.7403968253968254,0.07187466520346622,0.8099281073035568,0.05239681149752827,0.8625,0.10253913736402322,0.37333333333333335,0.233238075793812,0.8310950756731137,0.05512833348493647,0.716,0.11461114552102081
4,0.05,0.7270634920634921,0.08633844616664203,0.8115074138413103,0.05710729067058375,0.8336111111111111,0.0968998624010031,0.4066666666666666,0.21999999999999997,0.819400505357633,0.06281372870003896,0.686037037037037,0.11153204833236331
