k,model,class,precision,recall,f1_score,support
9,decision_tree,Healthy,0.4066666666666667,0.4066666666666667,0.4066666666666667,150.0
9,decision_tree,PD,0.8035320088300221,0.8035320088300221,0.8035320088300221,453.0
9,random_forest,Healthy,0.63,0.42,0.504,150.0
9,random_forest,PD,0.827037773359841,0.9183222958057395,0.8702928870292888,453.0
9,gradient_boosting,Healthy,0.6176470588235294,0.42,0.5,150.0
9,gradient_boosting,PD,0.8263473053892215,0.9139072847682119,0.8679245283018868,453.0
9,xgboost,Healthy,0.591304347826087,0.4533333333333333,0.5132075471698113,150.0
9,xgboost,PD,0.8319672131147541,0.8962472406181016,0.8629117959617428,453.0
10,naive_bayes,Healthy,0.48128342245989303,0.6,0.5341246290801187,150.0
10,naive_bayes,PD,0.8557692307692307,0.7858719646799117,0.8193325661680092,453.0
10,knn,Healthy,0.5833333333333334,0.37333333333333335,0.45528455284552843,150.0
10,knn,PD,0.814595660749507,0.9116997792494481,0.8604166666666667,453.0
10,decision_tree,Healthy,0.4642857142857143,0.43333333333333335,0.4482758620689655,150.0
10,decision_tree,PD,0.816414686825054,0.8344370860927153,0.8253275109170306,453.0
10,random_forest,Healthy,0.6526315789473685,0.41333333333333333,0.5061224489795918,150.0
10,random_forest,PD,0.8267716535433071,0.9271523178807947,0.8740894901144641,453.0
10,gradient_boosting,Healthy,0.6037735849056604,0.4266666666666667,0.5,150.0
10,gradient_boosting,PD,0.8269617706237424,0.9072847682119205,0.8652631578947368,453.0
10,xgboost,Healthy,0.5818181818181818,0.4266666666666667,0.49230769230769234,150.0
10,xgboost,PD,0.8255578093306288,0.8984547461368654,0.8604651162790697,453.0
15,naive_bayes,Healthy,0.4696969696969697,0.62,0.5344827586206896,150.0
15,naive_bayes,PD,0.8592592592592593,0.7682119205298014,0.8111888111888111,453.0
15,knn,Healthy,0.6,0.42,0.49411764705882355,150.0
15,knn,PD,0.8253012048192772,0.9072847682119205,0.8643533123028391,453.0
15,decision_tree,Healthy,0.46540880503144655,0.49333333333333335,0.47896440129449835,150.0
15,decision_tree,PD,0.8288288288288288,0.8123620309050773,0.8205128205128205,453.0
15,random_forest,Healthy,0.6875,0.44,0.5365853658536586,150.0
15,random_forest,PD,0.834319526627219,0.9337748344370861,0.88125,453.0
15,gradient_boosting,Healthy,0.6545454545454545,0.48,0.5538461538461539,150.0
15,gradient_boosting,PD,0.8417849898580122,0.9161147902869757,0.8773784355179705,453.0
15,xgboost,Healthy,0.6194690265486725,0.4666666666666667,0.532319391634981,150.0
15,xgboost,PD,0.8367346938775511,0.9050772626931567,0.8695652173913043,453.0
20,naive_bayes,Healthy,0.5082872928176796,0.6133333333333333,0.5558912386706949,150.0
20,naive_bayes,PD,0.8625592417061612,0.8035320088300221,0.832,453.0
20,knn,Healthy,0.5773195876288659,0.37333333333333335,0.4534412955465587,150.0
20,knn,PD,0.8142292490118577,0.9094922737306843,0.8592283628779979,453.0
20,decision_tree,Healthy,0.475177304964539,0.44666666666666666,0.46048109965635736,150.0
